"id","item.1","item.2","item.3","item.4","item.5","item.6","item.7","item.8","item.9","item.10","item.11","item.12","item.13","item.14","item.15","item.16","item.17","item.18"
27,8.37,10.08,9.51,1.72,10.07,5.86,7.95,8.35,10.01,9.24,8.48,11.37,12.34,12.08,12.37,14,12.22,12.07
28,1.04,15.97,18.75,18.72,18.74,7,8.83,5.98,7.86,7.39,9.44,6.72,5.86,5.69,7.4,6.46,5.26,4.15
29,6.93,7.55,3.65,2.67,9.76,15.91,8.32,9.79,9.33,10.2,9.23,11.38,10.46,10.55,11.14,12.15,12.21,11.45
30,19.85,8.67,18.36,17.85,8.04,14.41,11.86,11.57,11.23,10.79,9.74,11.35,13.18,11.43,11.8,11.15,11.5,12.49
31,9.16,19.04,9.57,12.73,14.84,17.24,8.01,7.93,8.15,7.76,7.86,8.8,9.21,10.58,10.16,9.77,10.77,10.52
32,19.95,1.68,3.89,6.21,12.58,1.18,1.51,3.15,3.72,3.83,3.39,5.81,4.8,4.72,5.65,2.94,5.59,4.18
33,9.14,12.1,7.63,2.46,2.26,10.82,9.04,9.65,11.53,9.15,11.18,11.71,11.25,12.27,12.51,9.88,11.23,12.49
34,11.03,14.74,10.4,15.2,9.3,15.69,12.38,13.71,13.63,13.32,14.73,9.42,8.81,10.7,9.26,9.19,10.25,10.8
35,15.37,12.25,10.58,6.28,16.27,8.36,6.72,8.09,7.16,8.77,8.12,16.02,13.99,16.71,15.5,15.26,13.04,15.57
36,1.86,7.51,8.57,4.2,10.31,6.1,10.02,11.2,11.3,12.01,11.86,12.87,11.4,12.75,12.47,10.94,11.98,11.06
37,0.36,0.14,17.37,3.14,0.72,8.35,10.68,7.98,9.09,9.77,9.37,6.53,7.89,7.34,6.98,7.95,6.13,8.43
38,15.92,24.88,18.2,10.95,4.45,4.7,7.43,8.21,9.63,8.77,9.18,7.78,6.76,6.51,9.05,8.07,5.82,7.38
39,9.61,8.6,4.81,13.5,15.29,6.74,6.44,7.45,6.78,6.86,6.53,12.21,10.6,10.6,13.08,12.25,10.5,12.57
40,9,9.45,9.92,8.01,9.81,2.98,11.41,9.2,12.88,12.41,10.94,12.44,11.81,10.43,11.12,11.12,11.65,12.95
41,5.83,18.14,12.44,20.47,7.33,10.42,6.89,8.04,7.27,7.33,6.85,7.33,6.69,9.83,7.23,8.32,6.07,8.49
42,14.54,3.98,18.89,6.53,14.33,7.43,12.4,12.01,11.54,12.68,13.74,11.01,9.83,9.93,9.02,9.97,11.57,12.02
43,5.67,6.01,2.37,8.1,4.09,5.97,14.03,12.59,12.82,12.05,15.13,9.7,10.78,10.27,11.43,9.14,10.78,9.26
44,17.82,0.29,7.45,12.52,9.26,6.7,12.9,11.2,11.18,12.08,10.63,12.22,13.2,13.4,11.32,11.8,12.19,12.61
45,21.23,12.3,24.68,10.1,8.24,20.73,8.58,5.2,4.13,5.58,7.56,15.19,13.59,14.98,13.49,14.55,15.15,14.83
46,11.52,8.4,0.06,1.26,14.31,9.75,8.02,9.73,9.02,10.22,8.83,12.74,11.39,10.21,11.32,11.21,11.39,10.85
47,15.68,12.01,1.16,9.17,7.55,7.24,11.62,12.91,11.55,12.96,11.88,12.03,11.25,11.08,10.88,11.24,11.69,12.66
48,10.06,9.14,9.71,0.84,13,17.85,8.59,9.8,9.18,10.79,8.83,13.27,15.96,14.81,12.44,13.43,13.43,14.82
49,5.81,11.04,13.74,10.69,15.91,13.26,6.18,5.83,5.03,6.39,5.85,9.78,8,9.57,11.28,7.42,10.75,10.28
50,5.32,12.94,5.75,10.08,13.63,15.61,11.18,11.8,11.34,10.36,9.99,12.58,14.42,12.37,14.58,13.44,14.05,12.03
51,11.31,13.25,5.9,5.91,22.45,2.57,9.52,8.65,8.93,8.86,10.31,11.48,12.26,11.18,11.67,11.32,9.85,12.22
52,10.96,4.98,8.84,15.94,3.32,5.75,8.04,6.96,7.52,9.83,9.38,10.11,10.7,8.58,7.48,9.87,6.92,8.86
53,18.78,8.66,13.51,23.84,19.72,19.62,9.06,7.43,10.27,8.77,9.7,12.77,12.05,12.67,11.28,12.23,12.42,13.43
54,11.54,4.91,11.87,4.43,8.24,11.88,9.4,10.88,12.05,10.66,9.42,6.01,7.69,7.3,6.85,7,6.21,7.67
55,12.35,17.8,10.88,6.34,1.47,9.27,11.02,11.18,11.37,10.45,10.44,12.61,10.07,11.65,11.16,8.83,10.55,10.7
56,7.39,6.42,2.95,5.71,10.96,5.03,8.75,8.34,9.61,9.35,8.08,10.02,11.77,11.2,12.08,11.4,10.96,10.03
57,1.49,9.43,15.85,11.94,13.45,3.9,11.78,11.07,11.25,12.16,11.21,10.77,10.55,10.97,12.31,12.01,13.25,11.65
58,9.2,14.43,8.37,4.58,5.6,3.05,9.76,9.67,9.29,8.45,8.3,8.79,8.6,9.68,9.85,8.3,8.74,8.51
59,4.11,12.89,21.18,14.15,11.01,15.19,7.8,8.4,9.34,8.77,6.38,10.93,11.28,12.81,10.73,9.07,10.28,12.68
60,7.36,3.72,2.79,10.18,8.43,16.86,10.6,8.77,10.96,9.66,11.08,12.96,13.96,12.62,12.54,13.92,14.3,13.42
61,14.43,19.7,9.89,23.73,9.78,6.31,7.8,9.98,9.3,7.41,8.08,8.65,10.47,8.61,8.31,9.19,9.37,9.49
62,0.18,11.19,10.04,10.71,5.38,6.54,10.74,10.3,11.53,9.24,10.81,10.4,10.44,8.62,11.1,11.52,9.01,12.96
63,14.19,15.55,11.84,21.85,13.18,7.93,11.72,12.55,11.43,15.5,13.39,11.06,8.28,8.76,8.83,9.8,10.19,9.06
64,7.12,9.02,3.94,0.88,0.18,11.53,9.4,9.77,11.8,10.13,8.46,10.72,11.77,10.74,10.94,14.23,10.7,11.69
65,0.66,6.53,3.87,1.18,14.28,2.01,11.8,13.18,11.83,13,10.5,9.86,9.25,8.89,8.82,8.55,10.46,9.16
66,7.06,8.19,6.42,6.42,8.12,4.16,9.81,10.51,11.3,10.39,10.67,12.57,10.64,13.55,10.46,11.7,12.32,12.51
67,14.59,4.31,6.65,9.07,2.65,1.1,8.63,9.85,9.18,10.45,10.07,6.49,8.35,8.22,7.59,7.3,8.06,7.2
68,2.69,20.29,16.89,11.95,4.46,9.15,5.78,4.98,5.2,3.29,3.52,9.87,10.93,11.95,11.94,11.15,11.38,12.85
69,2.1,5.2,10.65,15.81,12.22,15.6,6.42,6.4,8.72,6.02,5.82,10.16,11.12,11.86,11.88,11.35,10.53,10.53
70,15.68,3.69,14.58,18.01,15.39,1.97,8.29,9.35,7.61,8.03,8.01,10.51,9.85,9.31,10.14,10.64,10.9,8.66
71,6.57,16.59,3.11,5.99,13.25,8.01,9.59,8.56,7.2,9.71,9.5,7.83,5.08,4.47,5.63,6.36,4.33,5.14
72,16.93,22.22,14.55,14.66,0.55,9.8,13.15,13.55,13.56,15.34,13.33,6.1,5.96,5.55,6.34,4.78,5.76,6.87
73,5.35,12.1,17.54,6.47,17.99,10.18,9.42,11.29,11.6,9.61,8,9.55,9.78,9.22,9.62,11.21,10.14,6.72
74,22.29,7.39,15.97,3.9,7.53,17.81,10.75,9.16,13.13,10.5,10.68,11.85,12.41,11.17,12.35,11.06,11.94,11.37
75,5.38,7.14,26.69,5.45,13.37,0.83,8.56,9.48,8.3,8.04,7.56,13.73,12.09,12.31,10.36,11.91,11.33,10.86
76,14.12,7.55,10.98,21.04,9.79,5.98,7.97,8.8,7.12,7.35,10.11,12.91,11.2,12.71,10.84,11.99,13.14,13.01
77,12.98,10.81,3.2,2.47,8.74,7.22,11.03,11.83,12.88,10.44,11.4,12.13,12.66,11.9,13.21,13.55,15.88,12.17
78,0.6,9.81,5.16,5.4,5.75,2.31,9.21,9.61,6.37,8.71,9.79,15.72,14.41,15.5,14.91,14.91,14.68,14.73
79,7.96,11.6,2.45,10.61,13.41,5.08,11.4,10.2,10.4,10.2,10,11.23,10.62,11.14,11.2,10.51,10.3,11.28
80,6.8,20.45,7.43,20.15,12.1,18.52,10.32,11.29,12.06,12.16,12.37,13.97,11.83,10.87,13.62,13.03,13.98,15.09
81,6.4,5.99,13.03,1.6,1.59,6.82,10.37,9.03,9.47,10.77,7.57,11.03,10.38,11.34,10.65,12.32,12.9,9.38
82,1.69,6.65,7.18,8.14,10.07,10.47,10.79,11.3,10.89,10.76,11.39,6.29,6.21,5.73,4.47,7.31,4.86,5.39
83,22.12,5.6,7.83,0.38,10.83,24.23,8.23,8.63,6.79,7.58,7.02,9.55,8.83,10.48,10.81,8.74,10.07,8.53
84,13.01,22.43,15.53,16.38,10.16,21.76,12.96,11.71,12.77,13.84,12.92,4.62,5.41,3.98,4.8,2.95,4.6,2.43
85,3.29,12.93,12.63,15.49,18.78,8.62,9.46,12.09,9.96,7.36,9.34,8.98,9.65,9.87,9.48,7.97,7.3,8.21
86,6.49,3.8,21.5,14.75,6.23,8.47,10.45,10.21,10.67,8.39,8.63,10.59,9.23,11.77,9.4,9.79,10.09,10.3
87,5.92,13.8,14.07,7.91,13.33,4.97,9.62,9.63,7.98,9.96,7.98,11.95,13.31,12.1,10.33,9.79,9.77,9.16
88,13.9,12.68,21.28,10.51,5.08,13.66,15.14,15.24,16.88,15.2,15.89,6.09,8.42,6.08,7.86,6.47,7.97,8.56
89,2.93,4.94,12.14,5.09,3.73,9.2,10.97,11.9,10.5,8.95,12.07,11.67,11.33,9.82,10.85,13.04,12.58,9.29
90,17.39,11.24,17.9,13.98,7.74,16.64,9.77,8.18,7.66,8.81,9.63,10.71,11.16,10.7,10.26,10.87,10.63,10.67
91,6.43,2.4,1.67,1.85,12.15,11.34,10.95,11.13,10.06,10.03,10.54,11.99,11.41,13.17,12.5,12.49,11.95,12.75
92,10.07,6.33,10.08,21.45,9.63,14.4,7.3,11.52,11.56,8.65,7.6,10.33,9.12,9.37,7.21,6.89,9.62,10.48
93,14.18,13.71,3,23.64,15.23,11.04,12.92,14.14,13.24,13.07,12.05,10.86,11.87,11.29,12.73,11.23,8.64,11.57
94,9.65,10.61,6.42,10.54,15.34,4.35,8.73,10.17,11.02,10.94,10.27,8.21,11.92,10.3,11.01,11.05,10.31,11.69
95,0.39,7.68,12.91,13.81,13.96,1.02,11.22,12.39,9.24,11.25,10.29,11.92,11.89,12.26,11.96,12.09,15.67,13.49
96,3.87,7.41,5.23,5.98,7.74,11.44,10.57,12.84,10.09,12.3,12.09,7.01,7.49,6.32,6.88,7.43,5.55,9.18
97,8.61,10.58,6.38,5.71,8.11,9.64,8.9,10.03,10.84,10.84,10.16,6.78,5.81,5.77,5.43,6.77,5.74,4.91
98,0.09,9.65,13.88,8.79,9.67,26.74,10.09,12.04,10.58,10.68,11.2,11.67,11.38,12.46,11.93,11.1,12.64,11.99
99,6.42,8.3,21.16,13.51,5.3,14.96,8.03,8.9,8.51,8.44,6.72,13.63,13.68,11.48,14.21,13.44,14.93,13.81
100,4.39,11.94,5.52,11.09,10.82,12.87,11.36,12.64,12.43,12.75,12.15,8.93,8.89,9.16,9.17,8.83,9.43,7.19
